system:index,B4,EVI2,GVI,NDVI,RDVI,estimatefAPAR,.geo
4_6721,584.0,1.5544682633362525,3.8427672955974845,0.7365809652683807,49.04766490432068,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6758,1011.0,1.1976546875946912,2.548469387755102,0.6099537037037037,43.916666666666664,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6759,1002.0,1.0748101308173577,2.3889943074003797,0.5618714473108877,38.00012657332842,0.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6765,794.0,1.157379787614843,2.4535398230088497,0.5944841675178754,37.20160133625452,0.448,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6769,914.0,1.2954150908301814,3.181728880157171,0.6464900406111004,46.48888260393993,0.526,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6805,1078.0,1.0530137981118373,2.424131627056673,0.5530679933665008,38.41334932418448,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6813,437.0,1.3936841478659443,2.9554794520547945,0.6818347287950491,35.736206388383295,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6849,1206.0,0.9044721772687664,2.023116438356164,0.4908169727675744,33.780903802068565,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6857,760.0,1.4295179725028988,3.7166853303471443,0.6942880128720836,48.95592119891559,0.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6876,1010.0,1.0057421263267792,2.5797413793103448,0.5337026777469991,35.12720585174776,0.496,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6895,884.0,1.2581369989756466,3.299781181619256,0.6327378479434981,43.90124696219795,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6896,1060.0,0.9885963441220862,2.2739463601532566,0.5265743635551585,35.237229591201746,0.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6904,857.0,1.1594429522793335,2.432926829268293,0.5952774498229043,38.73879774855619,0.482,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6907,577.0,1.5189531768563316,3.259128386336867,0.724779394228476,46.93191429145351,0.546,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6924,671.0,1.2457686727920168,2.7570332480818416,0.628151842615683,37.7361925372679,0.486,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6944,600.0,1.5668434528163864,3.9654747225647347,0.7406526907283337,50.3807182474208,0.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6957,666.0,1.0958496553775972,2.809076682316119,0.5703225806451613,31.754217398333804,0.448,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6973,830.0,1.32119592450309,2.911851126346719,0.6558872305140961,45.55466164232373,0.483,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6981,922.0,1.113655655372427,2.393491124260355,0.5773550309420123,38.13603706394949,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
