system:index,B8,GVI,NLI,RDVI,SGI,estimatefAPAR,.geo
8_3013,2544.0,4.108433734939759,0.9999125493126855,42.52434746522836,8.989399293286219,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3038,2544.0,4.459227467811159,0.9999085323270241,42.18296832729305,8.594594594594595,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3040,2502.0,4.369098712446352,0.9999134223336834,42.36669980153713,9.232472324723247,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3044,2688.0,3.7744227353463584,0.999880981608337,40.43764750169644,6.251162790697674,0.522,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3051,2476.0,4.502222222222223,0.999908658758255,41.83046854499432,8.842857142857143,0.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3053,2574.0,4.076923076923077,0.9999142739851731,42.83555222755519,9.06338028169014,0.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3054,2786.0,3.896309314586995,0.999905181080946,43.05518424415385,7.570652173913044,0.534,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3058,3002.0,3.8813008130081297,0.9999003600906434,43.458860531296075,6.685968819599109,0.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3073,2592.0,4.246963562753036,0.9998853970374986,40.449477480158755,6.732467532467532,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3081,2556.0,4.68,0.9999256127648496,43.71939903624056,10.518518518518519,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3096,2470.0,5.024390243902439,0.9999196872062539,42.701693437939575,10.081632653061224,0.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3097,2548.0,4.147474747474748,0.9998968062139293,41.21535953924651,7.605970149253731,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3115,2500.0,5.218905472636816,0.9999270426614837,43.49968820463307,10.964912280701755,0.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3120,2452.0,4.796690307328605,0.9999178385347584,42.443105347658374,9.927125506072874,0.516,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3131,2568.0,4.417721518987341,0.999905078699008,42.01215093401013,8.20447284345048,0.537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3139,2510.0,4.050301810865191,0.9999025459783789,41.50697406447067,8.175895765472312,0.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3159,2266.0,5.157608695652174,0.9999049659201558,40.359361834020646,9.28688524590164,0.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3172,2604.0,4.271255060728745,0.9999126986842276,42.858484051263574,8.797297297297296,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3194,2644.0,4.153996101364522,0.9999093126600528,42.763887620642436,8.340694006309148,0.515,"{""type"":""MultiPoint"",""coordinates"":[]}"
