system:index,B2,GVI,MSR,RDVI,SGI,estimateLAI,.geo
1_1361,329.0,3.492424242424242,1.2489040211568094,35.70287352236949,5.0575692963752665,1.546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1385,428.0,2.8044444444444445,1.1169967861737904,35.59663388355058,4.481675392670157,1.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1389,341.0,3.482051282051282,1.2390588025381801,37.42847338633779,5.013384321223709,1.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1392,450.0,2.821067821067821,1.1725889170516228,36.84152429151319,4.720142602495543,1.524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1401,289.0,3.617886178861789,1.217599810098503,34.616194289607144,4.917748917748917,1.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1406,252.0,3.7599067599067597,1.587485645798468,35.85446723383393,6.695081967213115,1.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1411,187.0,3.737752161383285,1.5695154482030687,32.062612081712516,6.602409638554217,1.554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1442,310.0,3.0364372469635628,1.0214018832905276,30.229021068274317,4.086065573770492,1.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1466,443.0,2.863905325443787,1.0882052106221385,35.52414402164929,4.360601001669449,1.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1473,195.0,3.649616368286445,1.4295261683294138,32.74879443825351,5.902597402597403,1.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1498,265.0,3.0371229698375872,1.0600734062223098,28.68351767211462,4.2439024390243905,1.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1528,322.0,3.040441176470588,1.3097513840910842,34.95917706844202,5.334951456310679,1.479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1539,271.0,3.385744234800838,1.601965898549946,36.38775510204081,6.770226537216828,1.483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1540,241.0,3.620525059665871,1.2280266075840667,32.05565345324758,4.964102564102564,1.492,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1546,225.0,3.597260273972603,1.228115131993883,29.844172013554054,4.964497041420119,1.509,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1548,421.0,3.119610570236439,1.1379868227659842,38.513213187524364,4.570987654320987,1.517,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1549,357.0,2.9098039215686273,1.0488764571935774,30.57012601042456,4.197894736842105,1.465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1560,250.0,3.710588235294118,1.3105554887659951,33.37128746531926,5.338666666666667,1.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1573,248.0,3.58494623655914,1.471615366817817,35.7962853201936,6.108882521489972,1.523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1580,261.0,3.4490861618798956,1.126004209592315,29.08940798462085,4.519893899204244,1.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1602,344.0,3.207705192629816,1.2459244659665891,36.70930974462623,5.044176706827309,1.439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1636,316.0,3.468503937007874,1.079377196135786,33.00688387028494,4.3238095238095235,1.514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1649,412.0,3.031700288184438,1.1107851649892875,37.07371051938858,4.455414012738854,1.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1677,316.0,3.6603773584905657,1.4136013958632871,38.03263066318717,5.8254716981132075,1.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1687,280.0,3.783625730994152,1.2874460390713292,36.715217341037075,5.232409381663113,1.511,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1690,266.0,2.9528795811518322,0.9830006723817989,25.873096193779883,3.9322916666666665,1.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1708,398.0,2.844380403458213,1.1749704489718267,37.00923085281335,4.7304964539007095,1.479,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1710,333.0,3.079395085066163,1.2640430067342012,34.20378338698388,5.1258907363420425,1.446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1748,283.0,3.4208333333333334,1.3386047474826637,34.61084738881889,5.469072164948454,1.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1780,296.0,3.0078125,1.1870566483785423,32.5840555662783,4.783216783216783,1.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1787,351.0,3.3776223776223775,1.30327695811049,37.248367215423734,5.305084745762712,1.489,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1790,196.0,3.2867132867132867,1.1348585006608438,24.75091971535306,4.557620817843866,1.453,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1805,362.0,3.371428571428571,1.1331164697704503,34.95332262065669,4.550185873605948,1.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1807,259.0,3.242424242424242,1.227560395692044,32.24919558239016,4.962025316455696,1.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1813,297.0,3.94484412470024,1.3735795291965183,34.419258239051636,5.633879781420765,1.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1816,362.0,3.198630136986301,1.3291154460571393,37.11348095126027,5.424778761061947,1.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1826,212.0,3.7676767676767673,1.669181204393361,34.97812334682592,7.124528301886793,1.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1835,322.0,3.246268656716418,1.3589811733117159,36.03065630360525,5.56479217603912,1.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1843,300.0,3.683438155136268,1.2688026440807978,34.84813916980649,5.147465437788019,1.442,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1850,254.0,3.5491071428571432,1.5315617771341352,35.43568266750415,6.408805031446541,1.504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1863,214.0,3.238888888888889,1.5870799091138161,30.99273464720725,6.692982456140351,1.521,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1870,201.0,3.440129449838188,1.0177256050342134,25.036252240954,4.071216617210682,1.518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1919,279.0,3.4553191489361703,1.6597602005301766,36.77822259032872,7.074324324324325,1.532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1921,248.0,3.3453608247422677,1.561310462253003,32.418717390760015,6.560311284046692,1.519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1935,252.0,3.2851323828920567,1.371849162404275,34.75325220960581,5.625668449197861,1.481,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1990,207.0,3.853503184713376,1.6260098251548785,31.192249790475262,6.895927601809955,1.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1993,179.0,3.425806451612903,1.2135943621178655,26.86690358925971,4.9,1.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005,345.0,2.92,1.2355721203083068,34.6666672591118,4.9977827050997785,1.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2014,255.0,3.32258064516129,0.9636993425455102,26.466666666666665,3.856115107913669,1.507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2025,194.0,3.687861271676301,1.0212971868036507,27.262641282674284,4.085642317380352,1.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2052,276.0,3.335378323108385,1.436878197641412,35.42332380221552,5.938375350140056,1.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2057,264.0,3.1574074074074074,1.4928964824020108,33.003516998837654,6.2145328719723185,1.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2074,374.0,3.009160305343512,1.2472205054244232,37.54732550918323,5.05,1.504,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2089,252.0,3.090909090909091,1.2146404115766865,30.78341057136406,4.9046321525885554,1.449,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2097,306.0,3.6754385964912277,1.3291492839164363,34.60739347550342,5.424936386768448,1.493,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2108,262.0,3.0041322314049586,1.4571087028395981,34.021378326971586,6.037383177570093,1.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2121,376.0,2.945161290322581,1.2274336008616429,36.024872319759645,4.9614604462474645,1.476,"{""type"":""MultiPoint"",""coordinates"":[]}"
