system:index,B8,GVI,NLI,RDVI,SGI,estimatefCOVER,.geo
3_9674,1560.0,4.379310344827586,0.999863585899384,33.55385149537698,9.397590361445783,0.387,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9722,1838.0,3.407673860911271,0.9998076108553651,32.5319928594642,5.655384615384615,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9734,1594.0,4.47766323024055,0.9998748521740499,34.27369621355698,10.025157232704403,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9744,2098.0,2.8780036968576708,0.9998137216283274,33.70611329366279,5.117073170731707,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9751,2218.0,3.062271062271062,0.9998130075219757,33.971410903511284,4.821739130434783,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9762,2170.0,2.767361111111111,0.9998033704346002,33.26657513013205,4.686825053995681,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9804,1572.0,4.779411764705882,0.9998753711552204,34.1315361696159,10.207792207792208,0.377,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9828,2418.0,3.2198952879581153,0.9998300047150603,35.58017545034295,4.865191146881288,0.383,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9829,2230.0,2.484375,0.9997816402037784,32.03613741156125,4.106813996316759,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9840,1708.0,4.175757575757576,0.9998580962758499,34.300172414672204,8.251207729468598,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9844,1884.0,2.868583162217659,0.9997673153572709,30.692493682994005,4.561743341404358,0.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9862,1724.0,4.288343558282208,0.9998492800430628,33.985744082208285,7.696428571428571,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9869,1490.0,4.228070175438597,0.9998468654713165,32.39812578247186,8.764705882352942,0.376,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9871,1610.0,3.5609065155807365,0.9998102105197377,31.661055159187345,6.544715447154472,0.374,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9905,1588.0,4.172638436482084,0.99985407989443,33.35302653781971,8.630434782608695,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9971,1736.0,3.5445026178010473,0.9998400762856026,33.62310818689579,7.203319502074689,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_21,1976.0,3.1166666666666663,0.9998355910540022,34.531663525054434,6.155763239875389,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_93,1918.0,4.155913978494624,0.9998874673104768,37.11680133277207,9.265700483091788,0.389,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_94,1522.0,4.595588235294118,0.9998316555724811,32.02475200258425,7.805128205128205,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_96,1748.0,4.925423728813559,0.9998769509492449,35.45454545454545,9.297872340425531,0.395,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_119,1792.0,4.255131964809384,0.9998592553612187,34.8603045383633,7.929203539823009,0.392,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_141,1818.0,4.224137931034483,0.9998699074436843,35.55206514334595,8.455813953488372,0.398,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_150,1872.0,4.2,0.9997974171543159,32.14589133297409,5.273239436619718,0.394,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_168,1924.0,4.389355742296919,0.9998854669437071,37.04274279811756,9.075471698113208,0.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_173,1692.0,3.6483516483516487,0.9998302543355871,32.940326596423866,6.962962962962963,0.397,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_190,1714.0,3.982558139534884,0.9998618107085809,34.51067135164668,8.443349753694582,0.405,"{""type"":""MultiPoint"",""coordinates"":[]}"
