system:index,EVI,GVI,MSR,RDVI,SGI,estimatefAPAR,.geo
1_9054,6.507731958762887,4.111111111111111,1.7390045496031548,34.03849855897612,7.502145922746781,0.423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9058,5.739130434782609,4.431137724550898,1.8083725753074733,35.03601725214166,7.886956521739131,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9078,9.14590747330961,4.323076923076923,2.033500891638977,35.20951738809857,9.202127659574469,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9086,5.597569209993248,4.980707395498392,2.0344556006109573,36.512384463420844,9.207920792079207,0.417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9091,7.456445993031359,4.4232209737827715,1.971408469511206,31.98029790502729,8.829268292682928,0.413,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9101,10.397260273972602,3.959770114942529,1.8806382839705722,34.51783406684112,8.298076923076923,0.404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9126,5.743657042869641,5.121338912133891,2.1230327140991228,32.69245558536201,9.753333333333334,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9147,9.911924119241192,4.054878048780488,1.915915654226662,33.98651362633047,8.502564102564103,0.409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9151,10.521262002743484,4.276923076923077,2.0781712300564052,35.22947677379376,9.475138121546962,0.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9208,7.574955908289241,4.247311827956989,1.8882313518623024,36.74498552964269,8.341880341880342,0.424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9213,8.515424164524422,4.583333333333333,2.1452531614584585,32.88945055944656,9.89261744966443,0.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9225,8.195402298850574,4.110062893081761,1.8575914938508344,33.38928418288739,8.165829145728644,0.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9227,6.875,3.8274111675126905,1.6346927409882273,34.89996207650055,6.9416058394160585,0.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9244,4.927835051546392,5.339920948616601,2.0716923865594126,34.04648986868991,9.435294117647059,0.433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9336,6.573275862068966,4.554838709677419,1.9565379671617673,34.812271051130274,8.741116751269036,0.434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9340,5.832049306625578,5.108695652173913,2.13086658632963,35.12392331781484,9.80232558139535,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9349,7.736784140969163,4.012422360248447,1.7789364941066055,32.90659831760166,7.722488038277512,0.423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9352,6.673003802281369,4.117088607594937,1.7552766278133758,32.82022567129535,7.591549295774648,0.428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9370,8.83495145631068,4.459701492537313,2.0944977347489675,36.445021662229756,9.575916230366492,0.432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9379,6.314363143631436,4.927756653992396,2.1117888446462105,33.708773269711806,9.683229813664596,0.404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9384,8.212407991587803,4.196480938416422,1.9048399677254577,35.085623965974094,8.438095238095238,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9401,8.27021494370522,4.03542234332425,1.8223247937435036,35.43314398000398,7.9655172413793105,0.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9404,11.84540389972145,4.408045977011494,2.2245604437269617,37.450248140665,10.397790055248619,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9430,9.838483146067416,4.243333333333333,2.024127781230367,33.53825169336596,9.145348837209303,0.436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9454,8.931159420289855,4.141104294478527,1.9167814819074072,34.17427306716238,8.50761421319797,0.411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9461,7.624877571008815,4.7161716171617165,2.145972481943041,35.65441096834637,9.897142857142857,0.427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9463,5.143781452192667,5.0,1.9697932808779035,33.75713614038768,8.819672131147541,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9467,6.289571694599627,4.610294117647059,1.9529646120466804,32.7569299676473,8.72,0.402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9470,8.565264293419633,4.024930747922438,1.8331164241108011,35.158910955941785,8.026548672566372,0.418,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9473,5.6882440476190474,4.728476821192053,1.9337629717019325,34.79496055703638,8.606965174129353,0.403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9480,9.741258741258742,3.765578635014837,1.7458889459128504,32.661397779225524,7.539906103286385,0.404,"{""type"":""MultiPoint"",""coordinates"":[]}"
