system:index,EVI2,GVI,MSR,NDGI,RDVI,estimatefCOVER,.geo
0_1892,1.2171229857471717,2.987748851454824,1.0560332505270258,0.029156816390858944,35.033896629457,0.378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1918,0.6490901797761004,1.4467289719626168,0.48075312450975216,-0.054770318021201414,23.063942322745834,0.208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1949,0.7386345329767697,2.6194895591647334,0.5576031353384513,-0.1973929236499069,27.629758244082023,0.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1989,0.9166974283253353,2.365792759051186,0.7231259372415917,-0.06260971328262141,29.783458227978798,0.301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1998,0.9340775434024722,2.559550561797753,0.7403105149186797,-0.08057851239669421,32.688734962528045,0.283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2012,0.8979525157917665,2.0884520884520885,0.7048044994963177,-0.030375223347230494,28.36785900771961,0.281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2038,0.782648611429883,1.6184364060676781,0.5968719422671311,-0.013241220495106506,24.403878703489898,0.262,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2051,0.9090294674236279,2.069967707212056,0.715587495313593,-0.02107481559536354,30.46223759661836,0.229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2099,0.31475001005591086,1.171037628278221,0.22058504661700618,-0.18607888631090488,11.097476794321437,0.015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2111,0.8970471921961508,1.9116409537166899,0.7039649361112169,-0.0014005602240896359,25.76191879597017,0.329,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2125,0.7020858190817094,1.5579793340987371,0.5258141016966185,-0.047045951859956234,22.521163951840563,0.311,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2170,0.6567299006323396,1.5817120622568095,0.48716732974694765,-0.07719928186714542,23.421168111858194,0.178,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2181,0.6308031810800684,1.8891719745222928,0.46551263137759175,-0.14720260727865292,21.021907088019596,0.161,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2203,1.0366135366135367,2.243933588761175,0.8464549745808486,0.024869109947643978,31.318198034981123,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2205,0.37323402691960855,1.3268482490272375,0.26364382942221865,-0.18606492478226444,14.333845470215252,0.039,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2221,0.9199228067132141,2.442048517520216,0.7263149656305751,-0.07191994996873045,29.05634494343205,0.316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2277,0.5360657435862022,1.9418472063854049,0.3886148209911319,-0.20812641083521444,19.842179769601632,0.313,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2278,0.5641748942172073,1.6041666666666665,0.4110813025753959,-0.1334002006018054,19.26458565230588,0.109,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2306,1.0090208797891749,2.5085995085995085,0.8170674462017756,-0.030375223347230494,32.63934426229508,0.315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2327,0.8093437423761893,1.7461538461538462,0.6211788485221813,-0.0219435736677116,24.403114666183278,0.342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2453,0.9219610967270796,2.2427184466019416,0.7284321330733322,-0.040968342644320296,23.53201002332778,0.379,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2480,0.5656012564200519,1.2364016736401675,0.412233332376285,-0.05719921104536489,18.815020181325238,0.206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2489,1.1836143971809716,3.2020202020202024,1.0145809949877551,-0.017369727047146403,33.72397743162963,0.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2554,1.1714830423439695,3.5784313725490193,1.0,-0.06742857142857143,28.99310262803897,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2568,1.2002419177479657,3.0195530726256985,1.034946484368718,0.014883061658398299,36.52054312259353,0.339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2584,0.6520307354555434,2.0893617021276594,0.4832396974191327,-0.168141592920354,21.106870919205434,0.191,"{""type"":""MultiPoint"",""coordinates"":[]}"
