system:index,B4,B8,NDGI,NLI,RDVI,estimatefCOVER,.geo
6_143,361.0,2367.0,0.21179039301310043,0.9998711416103729,38.4068549905343,0.457,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_147,707.0,2869.0,0.10336081166772353,0.9998282285381641,36.15404835599969,0.458,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_158,439.0,2436.0,0.20326678765880218,0.9998520524354477,37.244242041118135,0.469,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_159,440.0,2370.0,0.19043238270469182,0.9998433422224754,36.4086142088943,0.467,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_180,412.0,2390.0,0.19609756097560976,0.9998557552264222,37.36734328313924,0.455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_197,331.0,2314.0,0.2337962962962963,0.9998763755322901,38.5575895598442,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_206,559.0,2656.0,0.13063763608087092,0.9998415284706577,36.98349427980859,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_222,588.0,2939.0,0.1050228310502283,0.9998638622443351,39.58675463604108,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_234,480.0,2619.0,0.11193339500462535,0.9998600509851755,38.42377198597508,0.466,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_248,404.0,2372.0,0.22007722007722008,0.9998564012008272,37.35212920565527,0.463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_256,349.0,2186.0,0.21129943502824858,0.9998539426588923,36.48548926657961,0.454,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_277,406.0,2336.0,0.19284294234592445,0.9998512085275838,36.857305617594555,0.462,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_279,555.0,2828.0,0.17899408284023668,0.9998612177157711,39.07944945607764,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_280,324.0,2257.0,0.23674911660777384,0.9998728008333901,38.04852730482306,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_299,402.0,2482.0,0.19114688128772636,0.9998694959003208,38.73162398164065,0.459,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_311,429.0,2505.0,0.18980169971671387,0.9998632768242743,38.32633527302242,0.471,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_324,541.0,2793.0,0.13578274760383385,0.9998613067671274,39.00188419302174,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_330,558.0,2673.0,0.127443315089914,0.9998438175032717,37.2084768848328,0.452,"{""type"":""MultiPoint"",""coordinates"":[]}"
