system:index,B8,GVI,NDGI,RDVI,SGI,estimatefAPAR,.geo
7_9573,2638.0,7.63375796178344,0.3333333333333333,47.690438913243355,17.26751592356688,0.628,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9593,2549.0,8.952029520295204,0.31873479318734793,48.0066123103882,19.264285714285716,0.633,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9595,2900.0,7.114705882352942,0.31021194605009633,47.59855956541667,15.41340782122905,0.619,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9600,2634.0,7.708860759493671,0.28716904276985744,47.632465035058004,15.725714285714286,0.623,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9615,3047.0,5.877419354838709,0.3061797752808989,50.27760670367133,12.947368421052632,0.626,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9631,2789.0,9.20863309352518,0.2930232558139535,49.121363592677405,18.67105263157895,0.649,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9641,2527.0,8.97752808988764,0.2961165048543689,47.528301886792455,18.372413793103448,0.626,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9648,3139.0,6.598086124401914,0.3082942097026604,50.70020458316516,14.371040723981901,0.651,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9650,3115.0,6.9491094147582695,0.2822185970636215,50.218470076677015,14.2,0.652,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9651,2745.0,8.397350993377483,0.2796610169491525,48.645974664547836,16.694117647058825,0.643,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9660,3184.0,5.783613445378151,0.29347826086956524,50.26430857514793,12.419230769230769,0.627,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9663,2722.0,6.692708333333333,0.32413793103448274,49.140433679631094,15.071428571428571,0.623,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9666,2952.0,7.069333333333333,0.29982668977469673,49.70475407289866,14.98019801980198,0.626,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9707,2865.0,8.453020134228188,0.2762312633832976,48.458847277224564,16.668639053254438,0.633,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9708,3173.0,5.552,0.33511348464619495,50.98387730136706,13.156626506024097,0.632,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9717,3000.0,9.094594594594595,0.31263858093126384,50.53291880462095,19.27741935483871,0.637,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9740,2635.0,7.026627218934911,0.29750479846449135,47.013354750133274,14.825136612021858,0.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9779,2593.0,7.39877300613497,0.3092369477911647,47.56748145630815,15.918604651162791,0.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9812,3211.0,6.615925058548009,0.30381679389312977,51.261600873733265,14.263157894736842,0.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9824,2984.0,7.033591731266149,0.34375,50.846085779084035,16.44973544973545,0.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9842,2964.0,7.590257879656161,0.3371647509578544,50.167254161432446,17.329479768786126,0.629,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9855,2963.0,6.94559585492228,0.3062605752961083,50.03374167123095,14.960975609756098,0.615,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9856,3141.0,5.828389830508475,0.2967032967032967,50.3025882837309,12.58984375,0.642,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9881,2732.0,8.706293706293707,0.3364485981308411,48.7610587446293,19.549295774647888,0.647,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9883,2787.0,6.618666666666667,0.3321492007104796,48.367643108133734,15.196808510638299,0.628,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9917,2905.0,7.679190751445086,0.2862453531598513,49.73079642109159,15.640625,0.645,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9937,2733.0,7.465671641791046,0.35353535353535354,48.88945597168108,17.725,0.639,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9945,3248.0,6.596810933940774,0.32428355957767724,52.14780310735875,14.888392857142858,0.619,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9974,2982.0,6.189655172413793,0.3203252032520325,48.45470107498327,13.966507177033494,0.627,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9981,2927.0,6.6425,0.2987012987012987,49.659029877716776,14.152777777777779,0.621,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_19,3514.0,6.829059829059829,0.2786885245901639,54.249179933171234,13.878787878787879,0.672,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_32,3003.0,8.490963855421686,0.29434697855750486,51.45220045413635,17.408839779005525,0.681,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_34,2882.0,8.588424437299036,0.3492407809110629,50.60371164434392,19.88,0.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_51,3500.0,6.852941176470588,0.2830188679245283,54.86971217972001,14.052631578947368,0.684,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_58,3458.0,6.72972972972973,0.35987748851454826,53.41336832112215,16.42105263157895,0.658,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_60,2926.0,7.935483870967742,0.2965779467680608,50.342404325452385,16.47027027027027,0.671,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_80,3225.0,9.46078431372549,0.31896551724137934,52.50455118565348,20.259493670886076,0.687,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_114,2983.0,8.642201834862385,0.2874015748031496,51.471403117966524,17.41988950276243,0.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_115,3306.0,7.90358126721763,0.34944237918215615,52.37323157845105,18.46857142857143,0.692,"{""type"":""MultiPoint"",""coordinates"":[]}"
