system:index,EVI2,GI,MSR,RDVI,SGI,estimatefAPAR,.geo
9_4259,1.8168736746440473,1.8528301886792453,2.17061984297696,44.327226831595496,10.052830188679245,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4266,1.8404096370540994,1.8273092369477912,2.2400604883044215,44.19981698114381,10.497991967871487,0.535,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4270,1.8502461400760797,1.8827838827838828,2.269909431820351,46.83369232552677,10.692307692307692,0.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4278,1.7425591452556601,1.7685714285714285,1.9712912056160752,46.71661225372743,8.82857142857143,0.603,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4305,1.6146175761560377,1.5494736842105263,1.6840660435830914,47.207927314534366,7.20421052631579,0.586,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4320,2.0394289598912305,2.356020942408377,3.009804737317469,50.42553439181566,16.078534031413614,0.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4326,2.01875736772762,2.165644171779141,2.9100311454363395,45.199874172782884,15.28834355828221,0.598,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4335,1.9750845977513372,2.0929203539823007,2.7161451146684703,50.0403930058315,13.809734513274336,0.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4347,1.7078995384780506,1.7953890489913544,1.887416802698773,44.72866068215941,8.337175792507205,0.578,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4359,1.9213935574229692,2.0429184549356223,2.5078085794471336,47.30803655385251,12.304721030042918,0.611,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4371,1.9967594357605796,2.141935483870968,2.810003810005715,42.71953206623897,14.516129032258064,0.539,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4406,1.9348700795035874,2.1605839416058394,2.5571455791874538,52.204154275338226,12.653284671532846,0.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4452,1.5627270525550983,1.4923076923076923,1.5831235883185057,43.683062718751806,6.672527472527473,0.538,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4461,2.03461411063266,2.375757575757576,2.986340312982459,46.54110305323963,15.89090909090909,0.589,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4463,1.721399730820996,1.5823529411764705,1.9195084195399585,44.95335582716304,8.523529411764706,0.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4466,1.7766984086406339,1.8834586466165413,2.059559160343055,42.36382606742594,9.360902255639099,0.556,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4491,1.7423757420556396,1.6241830065359477,1.9709926599742578,43.675592338807036,8.826797385620916,0.549,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4498,1.713675693898191,1.6231003039513678,1.9011055433851733,43.83783721392488,8.416413373860182,0.562,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4610,1.9334762575195188,2.019230769230769,2.552491000367532,45.41019461307158,12.620192307692308,0.565,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4671,1.977990825215195,2.1134453781512605,2.7281576769049813,51.554788536994224,13.899159663865547,0.596,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4675,1.8299010217113665,1.912162162162162,2.2084137699054525,47.579776985436226,10.29391891891892,0.603,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4685,1.939292879995662,2.0246913580246915,2.5740260983155023,49.45269927104798,12.77366255144033,0.621,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4686,1.8400570936119789,1.9965277777777777,2.2387626238014624,47.51068019453729,10.489583333333334,0.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4722,1.7231604702512382,1.5816993464052287,1.9238706551150886,42.733835518847954,8.549019607843137,0.531,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4754,1.9017432646592711,1.9411764705882353,2.4385359401589373,43.16981616271878,11.823529411764707,0.543,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4782,1.789090132943042,1.813868613138686,2.092845523245048,43.62031581317081,9.565693430656934,0.545,"{""type"":""MultiPoint"",""coordinates"":[]}"
